Name,Rarity,Type,Value,Attunement,Text
Demonskin,uncommon,potion,227,,"Uncorking this potion, you are immediately assaulted with a powerfully pungent, acrid odor. Once you drink it, your skin takes on a glowing burgundy hue and your eyes turn a sickly crimson. For 1 minute, you gain a +2 bonus to AC and resistance to cold, fire, and lightning damage, as well as bludgeoning, piercing, and slashing damage from nonmagical attacks. Until the potion's effects end, your creature type changes to Demon (Fiend).50"
Rod of Thought Projection,uncommon,rod,348,,"While holding this rod, you can use an action to create a mental connection with a willing humanoid creature that you can see within 120 feet of you. The connection lasts as long as you concentrate (as if concentrating on a spell), or until the other creature chooses to close it or moves farther than 120 feet away from you. For the duration, you can communicate with it telepathically. In addition, as part of the action to open this connection or as an action on a subsequent turn while it remains open, you can choose to see through the creature's eyes and hear what it hears until the start of your next turn, gaining the benefits of any special senses that the creature has. During this time, you are deaf and blind with regard to your own senses.If the creature is unwilling, it must succeed on a DC 13 Wisdom saving throw or have the mental connection be established anyway. The creature is aware of the effect when it makes the saving throw. At the end of each of the creature's turns, it can make another Wisdom saving throw. On a success, the connection is severed, and the effect ends. Once the rod has been used on an unwilling creature in this way, it can't do so again until the next dawn."
Izzet Guild Signet,uncommon,ring,155,requires attunement,"This ring, adorned with the symbol of Izzet, allows you to cast chaos bolt. A guild signet is sometimes awarded to a guild member whose renown score in that guild is 5 or higher, as a reward for performing special services for the guild. Aside from its magical properties, the ring is also an indicator of Izzet's recognition and favor.A signet has 3 charges, and it regains 1d3 expended charges daily at dawn. While wearing it, you can expend 1 charge to cast the associated spell (save DC 13)."
Invulnerability,uncommon,potion,429,,"When you open this potion, it bursts forth with a symphonic fanfare. Until the start of your next turn, you are immune to all damage. On your next turn, you can't move or take actions, as a wave of lethargy sweeps over you.39"
Bronze Dragon Scale Mail,very rare,medium armor,2405,requires attunement,"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to lightning damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest bronze dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has Disadvantage on Dexterity (Stealth) checks."
Spell Gem (Amber),very rare,wondrous item,3426,attunement optional,"An amber spell gem can contain one spell from any class's spell list. You become aware of the spell when you learn the gem's properties. While holding the gem, you can cast the spell from it as an action if you know the spell or if the spell is on your class's spell list. Doing so doesn't require any components, and doesn't require attunement. The spell then disappears from the gem.If the spell is of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully. The DC equals 10 + the spell's level. On a failed check, the spell disappears from the gem with no other effect.An amber spell gem can store up to 4th level spells. Spells cast from the spell gem have a save DC of 15 and an attack bonus of +9.You can imbue the gem with a spell if you're attuned to it and it's empty. To do so, you cast the spell while holding the gem. The spell is stored in the gem instead of having any effect. Casting the spell must require either 1 action or 1 minute or longer, and the spell's level must be no higher than the gem's maximum. If the spell belongs to the school of abjuration and requires material components that are consumed, you must provide them, but they can be worth half as much as normal.Once imbued with a spell, the gem can't be imbued again until the next dawn.Deep gnomes created these magic gemstones and keep the creation process a secret."
Mindmaster's Monocle,very rare,wondrous item,1394,requires attunement by a wizard,"This ancient golden monocle's lens is a roughly hewn ruby. While you wear this monocle, it magically floats in front of your eye, instead of resting on your face, and you can see clearly through its ruby lens. While peering through the lens, you always know if a creature you can see is concentrating on a spell. You perceive a concentrating creature's head as being shrouded in an indigo mist.This monocle has 10 charges for the following properties. It regains 1d6 + 4 expended charges daily at dawn. Spells. While wearing the monocle, you can use an action to expend some of its charges to cast one of the following spells from it, using your spell save DC: arcane eye (4 charges), detect thoughts (2 charges), or telepathic bond (5 charges). Mental Assault. While wearing the monocle, you can use a bonus action to expend 3 of its charges to attempt to break a creature's concentration on a spell. The target must be within 60 feet of you, and you must be able to see it. When you do, make an Intelligence check contested by the target's spellcasting ability check. If you win the contest, the target's concentration on the spell ends."
Armor of Safeguarding,very rare,generic variant,1667,requires attunement,"Set in the center of this armor's chest is a citrine engraved with the shield rune.While wearing this armor, your hit point maximum increases by an amount equal to 10 + your level. Invoking the Rune. As an action, you can invoke the armor's rune to cast the beacon of hope spell with it; the spell has a duration of 1 minute and doesn't require concentration. Once the rune has been invoked, it can't be invoked again until the next dawn. Base items. This item variant can be applied to the following base items:Chain Mail (Chain Mail of Safeguarding)Plate Armor (Plate Armor of Safeguarding)Ring Mail (Ring Mail of Safeguarding)Ring-Mail (Ring-Mail of Safeguarding)Splint Armor (Splint Armor of Safeguarding)"
Niko's Mace,very rare,"weapon (Mace), simple weapon, melee weapon",3993,requires attunement by a spellcaster,"This Mace has 6 charges and regains 1d6 expended charges daily at dawn. While holding the Mace, you can expend 1 of its charges to cast Summon Celestial (+9 to hit with spell attacks). Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
Potion of Possibility,very rare,potion,1592,,"When you drink this clear potion, you gain two Fragments of Possibility, each of which looks like a Tiny, grayish bead of energy that follows you around, staying within 1 foot of you at all times. Each fragment lasts for 8 hours or until used.When you make an attack roll, an ability check, or a saving throw, you can expend your fragment to roll an additional d20 and choose which of the d20s to use. Alternatively, when an attack roll is made against you, you can expend your fragment to roll a d20 and choose which of the d20s to use, the one you rolled or the one the attacker rolled.If the original d20 roll has advantage or disadvantage, you roll your d20 after advantage or disadvantage has been applied to the original roll.While you have one or more Fragments of Possibility from this potion, you can't gain another Fragment of Possibility from any source."
Sanctum Amulet,very rare,wondrous item,3789,requires attunement,"A black opal pendant hangs at the base of this pearlescent chain. The sacred rune is inscribed on the back of the pendant.While wearing this item, you have resistance to necrotic damage. Additionally, you can cast the spare the dying cantrip using either an action or a bonus action. Invoking the Rune. When a creature you can see within 60 feet of you is reduced to 0 hit points as a result of taking damage, you can use your reaction to invoke the item's rune, causing the pendant to flash with pale light. The creature then instead drops to 1 hit point.Once the rune has been invoked, it can't be invoked again until the next dawn."
Potion of Supreme Healing,very rare,potion,4750,,You regain 10d4 + 20 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Copper Dragon Scale Mail,very rare,medium armor,2956,requires attunement,"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to acid damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest copper dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has Disadvantage on Dexterity (Stealth) checks."
Gateway Ring,very rare,ring,4304,,"Made from tiny, moss-covered stones, this ring is enchanted with ancient fey magic. You can use an action to speak the ring's command word, followed by the name or description of a precise location on any plane of existence, and toss it into an unoccupied space within 10 feet of you. The ring expands into a 5-foot circular stone portal that's 1 foot thick in the space where it lands, floating 1 foot off the ground, where it remains for up to 1 minute.The portal duplicates the effect of the gate spell, creating another stone portal at the destination. This version of the spell can't target an individual creature, but can be used to target a precise location on the same plane of existence as you.You can end the spell and close the portal early by speaking the ring's command word again as an action while touching it with your hand. When you do, the ring returns to its normal size and reappears on your hand. If the portal remains for the full duration, the ring returns to its normal size and falls to the ground on a random side of the portal. Once the ring has been used, it can't be used again until 10 days have passed."
Royal Blade of Amphibios,very rare,"weapon (Rapier), martial weapon, melee weapon",4627,requires attunement,"This expertly crafted blade is ornamented with rose gold designs of frogs and lily pads. While holding the rapier, you can stand on and move across any liquid surface as if it were solid ground, you can hold your breath for up to 30 minutes at a time, and you gain a swimming speed of 30 feet. In addition, any creature with the Amphibious trait can understand the meaning of your words when you speak, though you gain no special ability to understand them in return.You gain a +2 bonus to attack and damage rolls made with this magic weapon. In addition, the blade has 3 charges and regains all expended charges daily at dawn. When you take the Attack action while holding the weapon, you can choose to expend 1 of its charges to transform the blade into a lashing, silver pseudopod that loosely resembles a frog's tongue. Until the end of your turn, the weapon adds 10 feet to your reach when you attack with it and deals slashing damage, instead of piercing, and on a hit, the target must succeed on a DC 16 Strength saving throw or be pulled up to 10 feet straight toward you. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
